category,name,ingredient_direction,quantity,unit,ingredient,note
Contemporary Classics,French 75,60 ml Champagne,60,ml,Champagne,NA
Contemporary Classics,French Connection,35 ml Cognac,35,ml,Cognac,NA
Contemporary Classics,French Connection,35 ml Amaretto,35,ml,Amaretto,NA
Contemporary Classics,Golden Dream,20 ml Galliano,20,ml,Galliano,NA
Contemporary Classics,Golden Dream,20 ml Triple Sec,20,ml,Triple Sec,NA
Contemporary Classics,Golden Dream,20 ml Fresh Orange Juice,20,ml,Fresh Orange Juice,NA
Contemporary Classics,Golden Dream,10 ml Fresh Cream,10,ml,Fresh Cream,NA
Contemporary Classics,Grasshopper,20 ml Crème de Cacao (White),20,ml,Crème de Cacao,White
Contemporary Classics,Grasshopper,20 ml Crème de Menthe (Green),20,ml,Crème de Menthe,Green
Contemporary Classics,Grasshopper,20 ml Fresh Cream,20,ml,Fresh Cream,NA
Contemporary Classics,Hemingway Special,60 ml Rum,60,ml,Rum,NA
Contemporary Classics,Hemingway Special,40 ml Grapefruit Juice,40,ml,Grapefruit Juice,NA
Contemporary Classics,Hemingway Special,15 ml Maraschino Luxardo,15,ml,Maraschino Luxardo,NA
Contemporary Classics,Hemingway Special,15 ml Fresh Lime,15,ml,Fresh Lime,NA
Contemporary Classics,Horse's Neck,40 ml Cognac,40,ml,Cognac,NA
Contemporary Classics,Horse's Neck,120 ml Ginger Ale,120,ml,Ginger Ale,NA
Contemporary Classics,Horse's Neck,Dash of Angostura Bitters (optional),1,dash,Angostura Bitters,optional
Contemporary Classics,Irish Coffee,50 ml Irish Whiskey,50,ml,Irish Whiskey,NA
Contemporary Classics,Irish Coffee,120 ml Hot coffee,120,ml,Hot coffee,NA
Contemporary Classics,Irish Coffee,50 ml Fresh cream (Chilled),50,ml,Fresh cream,Chilled
Contemporary Classics,Irish Coffee,1 teaspoon Sugar,1,teaspoon,Sugar,NA
Contemporary Classics,KIR,90 ml Dry White Wine,90,ml,Dry White Wine,NA
Contemporary Classics,KIR,10 ml Crème de Cassis,10,ml,Crème de Cassis,NA
Contemporary Classics,Long Island Ice Tea,15 ml Vodka,15,ml,Vodka,NA
Contemporary Classics,Long Island Ice Tea,15 ml Tequila,15,ml,Tequila,NA
Contemporary Classics,Long Island Ice Tea,15 ml White rum,15,ml,White rum,NA
Contemporary Classics,Long Island Ice Tea,15 ml Gin,15,ml,Gin,NA
Contemporary Classics,Long Island Ice Tea,15 ml Cointreau,15,ml,Cointreau,NA
Contemporary Classics,Long Island Ice Tea,30 ml Lemon juice,30,ml,Lemon juice,NA
Contemporary Classics,Long Island Ice Tea,20 ml Simple syrup,20,ml,Simple syrup,NA
Contemporary Classics,Long Island Ice Tea,Top with Cola,1,top up,Cola,NA
Contemporary Classics,Mai-Tai,30 ml Amber Jamaican Rum,30,ml,Amber Jamaican Rum,NA
Contemporary Classics,Mai-Tai,30 ml Martinique Molasses Rhum,30,ml,Martinique Molasses Rhum,NA
Contemporary Classics,Mai-Tai,15 ml Orange Curacao,15,ml,Orange Curacao,NA
Contemporary Classics,Mai-Tai,15 ml Orgeat Syrup (Almond),15,ml,Orgeat Syrup,Almond
Contemporary Classics,Mai-Tai,30 ml Fresh Lime Juice,30,ml,Fresh Lime Juice,NA
Contemporary Classics,Mai-Tai,7.5 ml Simple Syrup,7.5,ml,Simple Syrup,NA
Contemporary Classics,Margarita,50 ml Tequila 100% Agave,50,ml,Tequila 100% Agave,NA
Contemporary Classics,Margarita,20 ml Triple Sec,20,ml,Triple Sec,NA
Contemporary Classics,Margarita,15 ml Freshly Squeezed Lime Juice,15,ml,Freshly Squeezed Lime Juice,NA
Contemporary Classics,Mimosa,75 ml Fresh orange juice,75,ml,Fresh orange juice,NA
Contemporary Classics,Mimosa,75 ml Prosecco,75,ml,Prosecco,NA
Contemporary Classics,Mint Julep,60 ml Bourbon Whiskey,60,ml,Bourbon Whiskey,NA
Contemporary Classics,Mint Julep,4 fresh Mint sprigs,4,piece,fresh Mint sprigs,NA
Contemporary Classics,Mint Julep,1 tsp Powdered Sugar,1,teaspoon,Powdered Sugar,NA
Contemporary Classics,Mint Julep,2 tsp Water,2,teaspoon,Water,NA
Contemporary Classics,Mojito,45 ml White Cuban Ron,45,ml,White Cuban Ron,NA
Contemporary Classics,Mojito,20 ml Fresh Lime Juice,20,ml,Fresh Lime Juice,NA
Contemporary Classics,Mojito,6 pcs Mint Sprigs,6,piece,Mint Sprigs,NA
Contemporary Classics,Mojito,2 tsp White Cane Sugar,2,teaspoon,White Cane Sugar,NA
Contemporary Classics,Mojito,Soda Water,1,top up,Soda Water,NA
Contemporary Classics,Moscow Mule,45 ml Smirnoff Vodka,45,ml,Smirnoff Vodka,NA
Contemporary Classics,Moscow Mule,120 ml Ginger Beer,120,ml,Ginger Beer,NA
Contemporary Classics,Moscow Mule,10 ml Fresh lime juice,10,ml,Fresh lime juice,NA
Contemporary Classics,Pina Colada,50 ml White Rum,50,ml,White Rum,NA
Contemporary Classics,Pina Colada,30 ml Coconut Cream,30,ml,Coconut Cream,NA
Contemporary Classics,Pina Colada,50 ml Fresh Pineapple Juice,50,ml,Fresh Pineapple Juice,NA
Contemporary Classics,Pisco Sour,60 ml Pisco,60,ml,Pisco,NA
Contemporary Classics,Pisco Sour,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,NA
Contemporary Classics,Pisco Sour,20 ml Simple Syrup,20,ml,Simple Syrup,NA
Contemporary Classics,Pisco Sour,1 Raw Egg White,1,piece,Raw Egg White,NA
Contemporary Classics,Sea Breeze,40 ml Vodka,40,ml,Vodka,NA
Contemporary Classics,Sea Breeze,120 ml Cranberry Juice,120,ml,Cranberry Juice,NA
Contemporary Classics,Sea Breeze,30 ml Grapefruit Juice,30,ml,Grapefruit Juice,NA
Contemporary Classics,Sex on the Beach,40 ml Vodka,40,ml,Vodka,NA
Contemporary Classics,Sex on the Beach,20 ml Peach Schnapps,20,ml,Peach Schnapps,NA
Contemporary Classics,Sex on the Beach,40 ml Fresh Orange Juice,40,ml,Fresh Orange Juice,NA
Contemporary Classics,Sex on the Beach,40 ml Cranberry Juice,40,ml,Cranberry Juice,NA
Contemporary Classics,Singapore Sling,30 ml Gin,30,ml,Gin,NA
Contemporary Classics,Singapore Sling,15 ml Cherry liqueur,15,ml,Cherry liqueur,NA
Contemporary Classics,Singapore Sling,7.5 ml Cointreau,7.5,ml,Cointreau,NA
Contemporary Classics,Singapore Sling,7.5 ml DOM Bénédictine,7.5,ml,DOM Bénédictine,NA
Contemporary Classics,Singapore Sling,120 ml Fresh Pineapple Juice,120,ml,Fresh Pineapple Juice,NA
Contemporary Classics,Singapore Sling,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,NA
Contemporary Classics,Singapore Sling,10 ml Grenadine Syrup,10,ml,Grenadine Syrup,NA
Contemporary Classics,Singapore Sling,A dash of Angostura bitters,1,dash,Angostura bitters,NA
Contemporary Classics,Tequila Sunrise,45 ml Tequila,45,ml,Tequila,NA
Contemporary Classics,Tequila Sunrise,90 ml Fresh Orange Juice,90,ml,Fresh Orange Juice,NA
Contemporary Classics,Tequila Sunrise,15 ml Grenadine Syrup,15,ml,Grenadine Syrup,NA
Contemporary Classics,Vesper,45 ml Gin,45,ml,Gin,NA
Contemporary Classics,Vesper,15 ml Vodka,15,ml,Vodka,NA
Contemporary Classics,Vesper,7.5 ml Lillet Blanc,7.5,ml,Lillet Blanc,NA
Contemporary Classics,Zombie,45 ml Jamaican dark rum,45,ml,Jamaican dark rum,NA
Contemporary Classics,Zombie,45 ml Gold Puerto Rican rum,45,ml,Gold Puerto Rican rum,NA
Contemporary Classics,Zombie,30 ml Demerara Rum,30,ml,Demerara Rum,NA
Contemporary Classics,Zombie,20 ml Fresh lime juice,20,ml,Fresh lime juice,NA
Contemporary Classics,Zombie,15 ml Falernum,15,ml,Falernum,NA
Contemporary Classics,Zombie,15 ml Donn's Mix,15,ml,Donn's Mix,NA
Contemporary Classics,Zombie,1 tsp Grenadine syrup,1,teaspoon,Grenadine syrup,NA
Contemporary Classics,Zombie,1 dash Angostura bitters,1,dash,Angostura bitters,NA
Contemporary Classics,Zombie,6 drops Pernod,6,drops,Pernod,NA
New Era Drinks,Barracuda,45 ml Gold Rum,45,ml,Gold Rum,NA
New Era Drinks,Barracuda,15 ml Galliano,15,ml,Galliano,NA
New Era Drinks,Barracuda,60 ml Fresh Pineapple Juice,60,ml,Fresh Pineapple Juice,NA
New Era Drinks,Barracuda,1 dash Fresh Lime Juice,1,dash,Fresh Lime Juice,NA
New Era Drinks,Barracuda,Top up with Prosecco,1,top up,Prosecco,NA
New Era Drinks,Bee's Knees,52.5 ml Dry Gin,52.5,ml,Dry Gin,NA
New Era Drinks,Bee's Knees,2 teaspoons Honey Syrup,2,teaspoon,Honey Syrup,NA
New Era Drinks,Bee's Knees,22.5 ml Fresh Lemon Juice,22.5,ml,Fresh Lemon Juice,NA
New Era Drinks,Bee's Knees,22.5 ml Fresh Orange Juice,22.5,ml,Fresh Orange Juice,NA
New Era Drinks,Bramble,50 ml Gin,50,ml,Gin,NA
New Era Drinks,Bramble,25 ml Fresh Lemon Juice,25,ml,Fresh Lemon Juice,NA
New Era Drinks,Bramble,12.5 ml Sugar Syrup,12.5,ml,Sugar Syrup,NA
New Era Drinks,Bramble,15 ml Crème de Mûre,15,ml,Crème de Mûre,NA
New Era Drinks,Canchanchara,60 ml Cuban Aguardiente,60,ml,Cuban Aguardiente,NA
New Era Drinks,Canchanchara,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,NA
New Era Drinks,Canchanchara,15 ml Raw Honey,15,ml,Raw Honey,NA
New Era Drinks,Canchanchara,50 ml Water,50,ml,Water,NA
New Era Drinks,Dark ‘n' stormy,60 ml Goslings Rum,60,ml,Goslings Rum,NA
New Era Drinks,Dark ‘n' stormy,100 ml Ginger Beer,100,ml,Ginger Beer,NA
New Era Drinks,Espresso Martini,50 ml Vodka,50,ml,Vodka,NA
New Era Drinks,Espresso Martini,30 ml Kahlúa,30,ml,Kahlúa,NA
New Era Drinks,Espresso Martini,10 ml Sugar Syrup,10,ml,Sugar Syrup,NA
New Era Drinks,Espresso Martini,1 strong Espresso,1,shot,strong Espresso,NA
New Era Drinks,Fernandito,50 ml Fernet Branca,50,ml,Fernet Branca,NA
New Era Drinks,Fernandito,Fill up with Cola,1,fill up,Cola,NA
New Era Drinks,French Martini,45 ml Vodka,45,ml,Vodka,NA
New Era Drinks,French Martini,15 ml Raspberry Liqueur,15,ml,Raspberry Liqueur,NA
New Era Drinks,French Martini,15 ml Fresh Pineapple Juice,15,ml,Fresh Pineapple Juice,NA
New Era Drinks,Illegal,30 ml Espadin Mezcal,30,ml,Espadin Mezcal,NA
New Era Drinks,Illegal,15 ml Jamaica Overproof White Rum,15,ml,Jamaica Overproof White Rum,NA
New Era Drinks,Illegal,15 ml Falernum,15,ml,Falernum,NA
New Era Drinks,Illegal,1 Bar Spoon Maraschino Luxardo,1,bar spoon,Maraschino Luxardo,NA
New Era Drinks,Illegal,22.5 ml Fresh Lime Juice,22.5,ml,Fresh Lime Juice,NA
New Era Drinks,Illegal,15 ml Simple Syrup,15,ml,Simple Syrup,NA
New Era Drinks,Illegal,Few Drops of Egg White (Optional),few,drops,Egg White,Optional
New Era Drinks,Lemon drop Martini,30 ml Vodka Citron,30,ml,Vodka Citron,NA
New Era Drinks,Lemon drop Martini,20 ml Triple Sec,20,ml,Triple Sec,NA
New Era Drinks,Lemon drop Martini,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,NA
New Era Drinks,Naked and Famous,22.5 ml Mezcal,22.5,ml,Mezcal,NA
New Era Drinks,Naked and Famous,22.5 ml Yellow Chartreuse,22.5,ml,Yellow Chartreuse,NA
New Era Drinks,Naked and Famous,22.5 ml Aperol,22.5,ml,Aperol,NA
New Era Drinks,Naked and Famous,22.5 ml Fresh Lime Juice,22.5,ml,Fresh Lime Juice,NA
New Era Drinks,New York Sour,60 ml Rye Whiskey or Bourbon,60,ml,Rye Whiskey or Bourbon,NA
New Era Drinks,New York Sour,22.5 ml Simple syrup,22.5,ml,Simple syrup,NA
New Era Drinks,New York Sour,30 ml Fresh lemon juice,30,ml,Fresh lemon juice,NA
New Era Drinks,New York Sour,Few Drops of Egg White,few,drops,Egg White,NA
New Era Drinks,New York Sour,15 ml Red wine (Shiraz or Malbech),15,ml,Red wine,Shiraz or Malbech
New Era Drinks,Old Cuban,6/8 pcs Mint Leaves,6-8,piece,Mint Leaves,NA
New Era Drinks,Old Cuban,45 ml Aged Rum,45,ml,Aged Rum,NA
New Era Drinks,Old Cuban,22.5 ml Fresh Lime Juice,22.5,ml,Fresh Lime Juice,NA
New Era Drinks,Old Cuban,30 ml Simple Syrup,30,ml,Simple Syrup,NA
New Era Drinks,Old Cuban,2 Dashes Angostura Bitters,2,dash,Angostura Bitters,NA
New Era Drinks,Old Cuban,60 ml Brut Champagne or Prosecco,60,ml,Brut Champagne or Prosecco,NA
New Era Drinks,Paloma,50 ml 100% Agave Tequila,50,ml,100% Agave Tequila,NA
New Era Drinks,Paloma,5 ml Fresh lime,5,ml,Fresh lime,NA
New Era Drinks,Paloma,A pinch of Salt,1,pinch,Salt,NA
New Era Drinks,Paloma,100 ml Pink Grapefruit Soda,100,ml,Pink Grapefruit Soda,NA
New Era Drinks,Paper Plane,30 ml Bourbon Whiskey,30,ml,Bourbon Whiskey,NA
New Era Drinks,Paper Plane,30 ml Amaro Nonino,30,ml,Amaro Nonino,NA
New Era Drinks,Paper Plane,30 ml Aperol,30,ml,Aperol,NA
New Era Drinks,Paper Plane,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,NA
New Era Drinks,Penicillin,60 ml Blended Scotch Whisky,60,ml,Blended Scotch Whisky,NA
New Era Drinks,Penicillin,7.5 ml Lagavulin 16 y Whisky,7.5,ml,Lagavulin 16 y Whisky,NA
New Era Drinks,Penicillin,22.5 ml Fresh Lemon Juice,22.5,ml,Fresh Lemon Juice,NA
New Era Drinks,Penicillin,22.5 ml Honey Syrup,22.5,ml,Honey Syrup,NA
New Era Drinks,Penicillin,2-3 quarter size Sliced Fresh Ginger,2-3,piece,quarter size Sliced Fresh Ginger,NA
New Era Drinks,Russian Spring Punch,25 ml Vodka,25,ml,Vodka,NA
New Era Drinks,Russian Spring Punch,25 ml Fresh Lemon Juice,25,ml,Fresh Lemon Juice,NA
New Era Drinks,Russian Spring Punch,15 ml Crème de Cassis,15,ml,Crème de Cassis,NA
New Era Drinks,Russian Spring Punch,10 ml Sugar syrup,10,ml,Sugar syrup,NA
New Era Drinks,Russian Spring Punch,Top up Sparkling wine,1,top up,Sparkling wine,NA
New Era Drinks,Southside,60 ml London Dry Gin,60,ml,London Dry Gin,NA
New Era Drinks,Southside,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,NA
New Era Drinks,Southside,15 ml Simple Syrup,15,ml,Simple Syrup,NA
New Era Drinks,Southside,5/6 Mint Leaves,5-6,piece,Mint Leaves,NA
New Era Drinks,Southside,Few Drops of Egg White (Optional),few,drops,Egg White,Optional
New Era Drinks,Spicy Fifty,50 ml Vodka Vanilla,50,ml,Vodka Vanilla,NA
New Era Drinks,Spicy Fifty,15 ml Elderflower Cordial,15,ml,Elderflower Cordial,NA
New Era Drinks,Spicy Fifty,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,NA
New Era Drinks,Spicy Fifty,10 ml Monin Honey Syrup,10,ml,Monin Honey Syrup,NA
New Era Drinks,Spicy Fifty,2 thin Slices Red Chili Pepper,2,piece,thin Slices Red Chili Pepper,NA
New Era Drinks,Spritz,90 ml Prosecco,90,ml,Prosecco,NA
New Era Drinks,Spritz,60 ml Aperol,60,ml,Aperol,NA
New Era Drinks,Spritz,Splash of Soda water,1,splash,Soda water,NA
New Era Drinks,Suffering Bastard,30 ml Cognac or Brandy,30,ml,Cognac or Brandy,NA
New Era Drinks,Suffering Bastard,30 ml Gin,30,ml,Gin,NA
New Era Drinks,Suffering Bastard,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,NA
New Era Drinks,Suffering Bastard,2 Dashes Angostura Bitters,2,dash,Angostura Bitters,NA
New Era Drinks,Suffering Bastard,Top up Ginger beer,1,top up,Ginger beer,NA
New Era Drinks,Tipperary,50 ml Irish Whiskey,50,ml,Irish Whiskey,NA
New Era Drinks,Tipperary,25 ml Sweet Red Vermouth,25,ml,Sweet Red Vermouth,NA
New Era Drinks,Tipperary,15 ml Green Chartreuse,15,ml,Green Chartreuse,NA
New Era Drinks,Tipperary,2 Dashes Angostura Bitters,2,dash,Angostura Bitters,NA
New Era Drinks,Tommy's Margarita,60 ml Tequila Agave 100% Reposado,60,ml,Tequila Agave 100% Reposado,NA
New Era Drinks,Tommy's Margarita,30 ml Fresh Lime Juice (Persiano),30,ml,Fresh Lime Juice,Persiano
New Era Drinks,Tommy's Margarita,30 ml Agave Syrup (1/2 Water + 1/2 Agave Nectar),30,ml,Agave Syrup,1/2 Water + 1/2 Agave Nectar
New Era Drinks,Trinidad Sour,45 ml Angostura Bitters,45,ml,Angostura Bitters,NA
New Era Drinks,Trinidad Sour,30 ml Orgeat Syrup,30,ml,Orgeat Syrup,NA
New Era Drinks,Trinidad Sour,22.5 ml Fresh Lemon Juice,22.5,ml,Fresh Lemon Juice,NA
New Era Drinks,Trinidad Sour,15 ml Rye Whisky,15,ml,Rye Whisky,NA
New Era Drinks,VE.N.TO,45 ml White Smooth Grappa,45,ml,White Smooth Grappa,NA
New Era Drinks,VE.N.TO,22.5 ml Fresh lemon Juice,22.5,ml,Fresh lemon Juice,NA
New Era Drinks,VE.N.TO,15 ml Honey mix (replace water with chamomile),15,ml,Honey mix,replace water with chamomile
New Era Drinks,VE.N.TO,15 ml Chamomile cordial,15,ml,Chamomile cordial,NA
New Era Drinks,VE.N.TO,10 ml Egg White (Optional),10,ml,Egg White,Optional
New Era Drinks,Yellow Bird,30 ml White rum,30,ml,White rum,NA
New Era Drinks,Yellow Bird,15 ml Galliano,15,ml,Galliano,NA
New Era Drinks,Yellow Bird,15 ml Triple Sec,15,ml,Triple Sec,NA
New Era Drinks,Yellow Bird,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,NA
The Unforgettables,Alexander,30 ml Cognac,30,ml,Cognac,NA
The Unforgettables,Alexander,30 ml Crème de Cacao (Brown),30,ml,Crème de Cacao,Brown
The Unforgettables,Alexander,30 ml Fresh Cream,30,ml,Fresh Cream,NA
The Unforgettables,Americano,30 ml Bitter Campari,30,ml,Bitter Campari,NA
The Unforgettables,Americano,30 ml Sweet Red Vermouth,30,ml,Sweet Red Vermouth,NA
The Unforgettables,Americano,A splash of Soda Water,1,splash,Soda Water,NA
The Unforgettables,Angel Face,30 ml Gin,30,ml,Gin,NA
The Unforgettables,Angel Face,30 ml Apricot Brandy,30,ml,Apricot Brandy,NA
The Unforgettables,Angel Face,30 ml Calvados,30,ml,Calvados,NA
The Unforgettables,Aviation,45 ml Gin,45,ml,Gin,NA
The Unforgettables,Aviation,15 ml Maraschino Luxardo,15,ml,Maraschino Luxardo,NA
The Unforgettables,Aviation,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,NA
The Unforgettables,Aviation,1 Bar Spoon Crème de Violette,1,bar spoon,Crème de Violette,NA
The Unforgettables,Between the Sheets,30 ml White Rum,30,ml,White Rum,NA
The Unforgettables,Between the Sheets,30 ml Cognac,30,ml,Cognac,NA
The Unforgettables,Between the Sheets,30 ml Triple Sec,30,ml,Triple Sec,NA
The Unforgettables,Between the Sheets,20 ml Fresh Lemon Juice,20,ml,Fresh Lemon Juice,NA
The Unforgettables,Boulevardier,45 ml Bourbon or Rye Whiskey,45,ml,Bourbon or Rye Whiskey,NA
The Unforgettables,Boulevardier,30 ml Bitter Campari,30,ml,Bitter Campari,NA
The Unforgettables,Boulevardier,30 ml Sweet Red Vermouth,30,ml,Sweet Red Vermouth,NA
The Unforgettables,Brandy Crusta,52.5 ml Brandy,52.5,ml,Brandy,NA
The Unforgettables,Brandy Crusta,7.5 ml Maraschino Luxardo,7.5,ml,Maraschino Luxardo,NA
The Unforgettables,Brandy Crusta,1 Bar Spoon Curacao,1,bar spoon,Curacao,NA
The Unforgettables,Brandy Crusta,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,NA
The Unforgettables,Brandy Crusta,1 Bar Spoon Simple Syrup,1,bar spoon,Simple Syrup,NA
The Unforgettables,Brandy Crusta,2 Dashes Aromatic Bitters,2,dash,Aromatic Bitters,NA
The Unforgettables,Casino,40 ml Old Tom Gin,40,ml,Old Tom Gin,NA
The Unforgettables,Casino,10 ml Maraschino Luxardo,10,ml,Maraschino Luxardo,NA
The Unforgettables,Casino,10 ml Fresh Lemon Juice,10,ml,Fresh Lemon Juice,NA
The Unforgettables,Casino,2 Dashes Orange Bitters,2,dash,Orange Bitters,NA
The Unforgettables,Clover Club,45 ml Gin,45,ml,Gin,NA
The Unforgettables,Clover Club,15 ml Raspberry Syrup,15,ml,Raspberry Syrup,NA
The Unforgettables,Clover Club,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,NA
The Unforgettables,Clover Club,Few Drops of Egg White,few,drops,Egg White,NA
The Unforgettables,Daiquiri,60 ml White Cuban Ron,60,ml,White Cuban Ron,NA
The Unforgettables,Daiquiri,20 ml Fresh Lime Juice,20,ml,Fresh Lime Juice,NA
The Unforgettables,Daiquiri,2 Bar Spoons Superfine Sugar,2,bar spoon,Superfine Sugar,NA
The Unforgettables,Dry Martini,60 ml Gin,60,ml,Gin,NA
The Unforgettables,Dry Martini,10 ml Dry Vermouth,10,ml,Dry Vermouth,NA
The Unforgettables,Gin Fizz,45 ml Gin,45,ml,Gin,NA
The Unforgettables,Gin Fizz,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,NA
The Unforgettables,Gin Fizz,10 ml Simple Syrup,10,ml,Simple Syrup,NA
The Unforgettables,Gin Fizz,Splash of Soda Water,1,splash,Soda Water,NA
The Unforgettables,Hanky Panky,45 ml London Dry Gin,45,ml,London Dry Gin,NA
The Unforgettables,Hanky Panky,45 ml Sweet Red Vermouth,45,ml,Sweet Red Vermouth,NA
The Unforgettables,Hanky Panky,7.5 ml Fernet Branca,7.5,ml,Fernet Branca,NA
The Unforgettables,John Collins,45 ml Gin,45,ml,Gin,NA
The Unforgettables,John Collins,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,NA
The Unforgettables,John Collins,15 ml Simple Syrup,15,ml,Simple Syrup,NA
The Unforgettables,John Collins,60 ml Soda Water,60,ml,Soda Water,NA
The Unforgettables,Last word,22.5 ml Gin,22.5,ml,Gin,NA
The Unforgettables,Last word,22.5 ml Green Chartreuse,22.5,ml,Green Chartreuse,NA
The Unforgettables,Last word,22.5 ml Maraschino Luxardo,22.5,ml,Maraschino Luxardo,NA
The Unforgettables,Last word,22.5 ml Fresh Lime Juice,22.5,ml,Fresh Lime Juice,NA
The Unforgettables,Manhattan,50 ml Rye Whiskey,50,ml,Rye Whiskey,NA
The Unforgettables,Manhattan,20 ml Sweet Red Vermouth,20,ml,Sweet Red Vermouth,NA
The Unforgettables,Manhattan,1 dash Angostura Bitters,1,dash,Angostura Bitters,NA
The Unforgettables,Martinez,45 ml London Dry Gin,45,ml,London Dry Gin,NA
The Unforgettables,Martinez,45 ml Sweet Red Vermouth,45,ml,Sweet Red Vermouth,NA
The Unforgettables,Martinez,1 Bar Spoon Maraschino Liqueur,1,bar spoon,Maraschino Liqueur,NA
The Unforgettables,Martinez,2 Dashes Orange Bitters,2,dash,Orange Bitters,NA
The Unforgettables,Mary Pickford,45 ml White Rum,45,ml,White Rum,NA
The Unforgettables,Mary Pickford,45 ml Fresh Pineapple Juice,45,ml,Fresh Pineapple Juice,NA
The Unforgettables,Mary Pickford,7.5 ml Maraschino Luxardo,7.5,ml,Maraschino Luxardo,NA
The Unforgettables,Mary Pickford,5 ml Grenadine Syrup,5,ml,Grenadine Syrup,NA
The Unforgettables,Monkey Gland,45 ml Dry Gin,45,ml,Dry Gin,NA
The Unforgettables,Monkey Gland,45 ml Fresh Orange Juice,45,ml,Fresh Orange Juice,NA
The Unforgettables,Monkey Gland,1 Table Spoon Absinthe,1,tablespoon,Absinthe,NA
The Unforgettables,Monkey Gland,1 Table Spoon Grenadine Syrup,1,tablespoon,Grenadine Syrup,NA
The Unforgettables,Negroni,30 ml Gin,30,ml,Gin,NA
The Unforgettables,Negroni,30 ml Bitter Campari,30,ml,Bitter Campari,NA
The Unforgettables,Negroni,30 ml Sweet Red Vermouth,30,ml,Sweet Red Vermouth,NA
